number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
897,sfx,86,SFX GXL,005cb948,implemented_unverified,implemented_unverified,baseline_inventory,XSFX;XDearkArchive,FT_PE32_SFX
898,sfx,87,SFX ARC,004e97f8,partial,partial,baseline_inventory,XArcSFX;XSFX;XSEAARC,FT_ARCSFX
899,sfx,88,SFX Blink,005cf228,missing,missing,baseline_inventory,,
900,sfx,89,SFX ARX,005d0278,missing,missing,baseline_inventory,,
901,sfx,90,SFX JRC,005d11f8,missing,missing,baseline_inventory,,
902,sfx,91,SFX ClientInstall,0075fa38,missing,missing,baseline_inventory,,
903,sfx,92,SFX ARS,0075fc58,missing,missing,baseline_inventory,,
904,sfx,93,SFX IS14,00760518,implemented_unverified,implemented_unverified,baseline_inventory,XIS14SFXArchive,FT_IS14_SFX
905,sfx,94,SFX SFXSTART,00760d68,missing,missing,baseline_inventory,,
906,sfx,95,SFX SFXEXE,007612a8,missing,missing,baseline_inventory,,
907,sfx,96,SFX OSetup,007614b8,missing,missing,baseline_inventory,,
